Country Name,Country Code,Indicator Name,Indicator Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014
Aruba,ABW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Eastern and Southern,AFE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,7.854248591,7.114661403,7.297536728,7.441388613,7.501636211,7.398256811,7.347928621,8.222566829,8.016470772,8.091670267,7.632633898,7.802150597,8.241301265,6.734153287,6.751626257,5.066041512,5.949911911,5.624047652,5.992729523,6.801493685,7.38606057,8.261470246,7.723381745,8.238042829,6.850106264,8.029657406,8.303373695,8.843838128,8.834761702,8.88752946,8.906289642,7.82246585,9.069003439,10.81346227,9.630202581,9.772202881,9.737485386,10.29411312,11.25656329,10.96064212,10.5280814,10.27660808,10.39318238,10.59476561
Afghanistan,AFG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Western and Central,AFW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,8.755186722,9.342940889,9.727920536,6.954666667,9.413077853,10.34948506,9.767334716,7.278709574,17.07692308,16.85380117,25.48732943,14.49690282,16.83087507,27.25409836,22.84339323,19.02377972,19.98770528,21.49271433,20.44546426,24.46478554,24.15334302,24.74618847,18.72743208,23.51344934,25.77107608,26.87564075,26.34197512,26.50185898,27.54770907,28.77617222,28.88210072,29.24832247,28.91048883,27.53744703,23.11663823,26.07110493,15.6476232,16.28227491,14.37851696,18.72691523,15.59020434,14.94153744,18.20066004,17.90314741
Angola,AGO,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,25.06738544,25.05966587,25,24.97965826,24.98084291,24.95726496,24.95726496,24.95726496,25.07936508,25.03703704,25.03703704,25,25.03192848,25.07462687,25.06203474,25.06203474,25.0617284,25.03067485,25.03052503,25.08917955,28.58672377,28.51108765,28.42105263,28.37696335,28.4375,28.40466926,10.03490401,14.56752656,14.53183521,14.60207612,14.52991453,14.61756374,12.93233083,26.43369176,23.76166547,11.79673321,13.39757538,10.00962464,10.01055966,11.50669848,11.27234118,11.26692456,11.27069133,11.26582278
Albania,ALB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,4.979591837,4.620689655,4.230317274,3.842105263,4.224719101,4.62745098,4.904347826,4.774193548,4.291970803,4.333781965,4.293333333,4.27622842,4.232804233,4.304546677,5.115983476,3.172737955,3.686006826,4.342369478,5.311666262,51.18325243,33.47302252,41.57336476,46.897138,46.76478051,51.03957076,48.26145102,55.71920428,62.41926013,25.58482225,27.24989535,36.08579088,27.50133761,28.88621795,11.4520157,11.53775491,45.05792904,72.9020979,38.53041875,23.58708189,12.65856237,24.9343832,23.68253968,27.99252766,23.68755292
Andorra,AND,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arab World,ARB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,9.098231752,9.2618336,9.192908505,9.087931881,9.739395092,10.76218969,10.4910525,10.0236644,10.27700226,9.94380845,12.069869,10.45710331,10.37326712,10.17824943,12.6113988,8.198881142,9.521701446,10.37541478,9.885439302,9.595228189,9.946571647,9.52891868,9.662014073,9.944348314,9.953060609,10.05259982,10.2455639,9.378422986,9.461642877,11.41644291,11.07482173,10.57465017,9.427655099,10.5246642,12.19406003,11.38167131,12.35921573,13.75479511,13.98558174,13.02979926,12.75395898,14.17483253,13.73308582,14.35983328
United Arab Emirates,ARE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,6.896551724,6.852248394,6.805555556,6.900212314,6.944444444,7.006697579,7.005076142,6.987247609,6.992586656,6.993339676,7.012195122,7.010656197,7.001281925,7,6.991666667,7.000156079,7.000073223,7.001347709,8.999487574,8.99882904,8.99659962,8.999946493,9.00138058,8.998988878,9.098550957,9.099804305,6.637323944,5.369549593,2.381080644,3.382235129,7.175947373,7.175175004,7.174924166,7.175153099,7.174865729,7.175593098,7.175518356,7.175979597,7.176531637,7.17603962,7.175928261,7.176413255,7.176479449,6.773479335
Argentina,ARG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,10.15916018,9.831660476,9.752072315,9.817531306,11.05544764,10.69962934,11.26399901,11.72160077,11.27493956,12.68070317,12.66252993,12.85664143,14.30365323,13.96388382,13.94896719,16.68469277,15.75549107,14.02404012,17.08340757,18.31296807,18.9340395,20.39512536,20.26601273,17.92053576,17.70200701,17.52432339,16.2632438,15.16375723,14.82843899,14.83297717,14.25622815,17.1704972,15.26567424,15.41955773,15.12546094,15.11757385,16.71740446,13.38278346,14.74749629,13.42535306,14.43479603,13.59979945,16.01834942,14.65738153
