Country Name,Country Code,Indicator Name,Indicator Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Aruba,ABW,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0,0,0,0,0,0,0,0,0,0,0,2.492833246,2.305648971,2.171909277,1.81112648,1.587848411,1.53943072,1.364051938,1.246729915,1.336447659,1.236500835,1.124744764,1.025240801,1.041054871,0.907660026,0.848687393,0.889319948,0.956490725,0.874257853,0.704789854,0.858117255,0.863125697,0.866330895,0.894451458,1.135242708,1.349757023,1.190171745,1.487297455,1.284814575,1.76823049,2.016792307,1.780885358,1.600265432,1.68171433,2.028459269,2.082271785,2.24949947,2.560340971,2.71593411,2.812554055,1.94191782,2.256480517,2.80379593,3.122914998,3.193329335,3.330766475
Afghanistan,AFG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Western and Central,AFW,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0,0,0,0,0,0,0,0,0,0,0,15.76714337,18.5377143,17.90060903,12.97270332,14.90568701,15.05276494,18.40957988,22.43177359,17.3546105,14.51928018,12.00375589,13.30824227,16.85520717,20.3892127,15.52388429,17.25666705,17.64982977,16.84208686,13.76896498,12.22807209,10.94811065,12.89891165,13.26149188,12.54891461,15.13462928,13.67404418,5.129956216,6.506717404,5.449838372,5.282660101,5.541950145,4.619329311,4.975357303,4.955772234,5.928582643,6.384206777,8.109123459,7.787557607,8.308141563,7.13225857,6.632931353,6.946643484,6.893667905,7.425638717,7.820248213
Angola,AGO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0,0,0,0,0,0,0,0,0,0,0,18.46361186,18.85441527,17.27642276,30.18714402,27.20306513,26.83760684,26.83760684,9.743589744,11.9047619,11.85185185,11.85185185,12.36111111,26.18135377,10.29850746,13.02729529,13.02729529,13.45679012,13.98773006,13.30891331,13.79310345,17.34475375,11.29883844,6.315789474,6.282722513,6.25,10.01945525,23.64746946,19.57511381,33.03370787,36.88581315,37.91208791,35.2407932,37.79448622,21.59498208,20.35175879,19.38898972,22.3811004,24.59095284,34.65681098,32.04257662,29.09219607,39.2005158,41.97906524,46.82489451,46.82507169
Albania,ALB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0,0,0,0,0,0,0,0,0,0,0,42.85714286,37.93103448,33.78378378,31.57894737,28.08988764,25.49019608,23.47826087,22.58064516,21.16788321,20.59219381,18.66666667,16.99867198,15.34391534,26.31154157,32.3164919,20.46611829,23.77701934,26.22991968,25.34562212,13.59223301,7.857517025,4.949911609,6.092377444,4.313625983,6.013860943,4.279505182,3.825554705,3.679780779,2.670841776,3.850983675,4.691689008,6.046013911,2.143429487,2.497324295,1.286055484,1.683562636,2.517482517,0,0.019223376,0.013213531,1.407778573,0,0,0,0
Andorra,AND,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arab World,ARB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0,0,0,0,0,0,0,0,0,0,0,44.29498563,42.29927618,42.80897242,41.38636304,42.49944505,39.68753294,41.97251507,42.43791521,43.70403424,38.49238248,42.62137362,47.08305473,48.56737226,47.58749658,47.67350323,47.93482023,47.75830422,47.35081516,45.5199292,35.80235093,36.59352886,35.71059864,32.26689585,31.86475247,31.4154673,30.93178947,32.33389272,34.37440631,34.130252,34.40706883,31.88945281,33.08126311,32.49715141,31.52360777,27.40801263,26.4267611,26.87909331,27.07668361,24.25927091,22.76981013,22.89048884,24.09400139,22.73290792,23.08517154,20.4380752
United Arab Emirates,ARE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72250423,3.719447396,3.70667201,3.710751665,3.727827051,3.712843522,3.717582092,3.718181818,3.708333333,3.722491025,3.712381929,3.71967655,3.702280297,3.706088993,3.70583828,3.702712826,3.709157846,3.707448601,3.10623649,3.368207135,4.133802817,3.650574988,3.388460917,3.089325055,2.798109886,2.763786922,2.744186047,2.335120285,2.135160961,2.032410736,1.863190813,1.705309529,1.588773696,1.478593648,1.400082714,1.3791423,1.309521568,1.264073871,1.242089726
Argentina,ARG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0,0,0,0,0,0,0,0,0,0,0,67.21131053,68.14589425,61.64810022,52.36851521,46.38925809,46.96518401,50.52293833,45.80965484,42.7725087,31.6400544,29.99562296,23.43428772,22.38681022,19.39910154,12.60576604,16.1092178,19.36624455,16.52758106,14.26223991,9.74379188,14.20845533,13.70948981,10.86949461,7.064349605,6.841751847,6.635479149,2.824421146,5.147813868,4.760957908,3.242604881,1.114131943,0.898724734,1.098554819,4.032346628,5.446910163,7.519486474,10.21272634,11.81704549,11.70941363,13.30241173,15.12176296,14.78909067,14.26825235,13.84010656,15.42319446
